position_in_list,ctr,n
1,0.1690312119983786,2467
2,0.1523924406915963,2487
3,0.14135103475205,2561
4,0.1475343573160873,2474
5,0.15106468461229408,2489
6,0.16275303643724695,2470
7,0.15415495784825373,2491
8,0.16613672496025436,2516
9,0.14933018124507486,2538
10,0.1432561851556265,2506
11,0.15031152647975077,2568
12,0.15155179363160015,2481
13,0.15789473684210525,2546
14,0.14943910256410256,2496
15,0.14122448979591837,2450
16,0.1375722543352601,2595
17,0.14610778443113773,2505
18,0.15144230769230768,2496
19,0.14089624545821558,2477
20,0.1562255285826155,2554
