column,type,n_non_na
movie_id,character,1005
title,character,1005
content_type,character,1005
genre_primary,character,1005
genre_secondary,character,360
release_year,numeric,1005
duration_minutes,numeric,1005
rating,character,1005
language,character,1005
country_of_origin,character,1005
imdb_rating,numeric,1005
production_budget,numeric,1005
box_office_revenue,numeric,1005
number_of_seasons,numeric,1005
number_of_episodes,numeric,1005
is_netflix_original,logical,1005
added_to_platform,Date,1005
content_warning,logical,1005
budget_missing,numeric,1005
revenue_missing,numeric,1005
