threshold,tp,tn,fp,fn,total,accuracy,precision,recall,f1
0.01,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.02,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.03,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.04,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.05,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.060000000000000005,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.06999999999999999,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.08,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.09,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.09999999999999999,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.11,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.12,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.13,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.14,7174,0,40463,0,47637,0.15059722484623297,0.15059722484623297,1,0.2617722719891992
0.15000000000000002,4089,18023,22440,3085,47637,0.46417700526901357,0.15413321271061856,0.5699749093950376,0.2426490223422247
0.16,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.17,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.18000000000000002,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.19,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.2,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.21000000000000002,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.22,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.23,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.24000000000000002,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.25,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.26,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.27,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.28,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.29000000000000004,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.3,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.31,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.32,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.33,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.34,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.35000000000000003,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.36000000000000004,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.37,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.38,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.39,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.4,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.41000000000000003,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.42000000000000004,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.43,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.44,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.45,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.46,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.47000000000000003,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.48000000000000004,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.49,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.5,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.51,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.52,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.53,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.54,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.55,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.56,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.5700000000000001,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.5800000000000001,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.59,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.6,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.61,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.62,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.63,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.64,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.65,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.66,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.67,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.68,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.6900000000000001,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.7000000000000001,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.7100000000000001,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.72,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.73,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.74,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.75,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.76,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.77,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.78,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.79,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.8,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.81,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.8200000000000001,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.8300000000000001,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.8400000000000001,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.85,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.86,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.87,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.88,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.89,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.9,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.91,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.92,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.93,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.9400000000000001,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.9500000000000001,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.9600000000000001,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.97,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
0.98,0,40463,0,7174,47637,0.849402775153767,NA,0,NA
