user_id,first_watch,signup_month
user_00001,2024-02-05T00:00:00Z,2024-02-01T00:00:00Z
user_00002,2024-02-29T00:00:00Z,2024-02-01T00:00:00Z
user_00003,2024-04-25T00:00:00Z,2024-04-01T00:00:00Z
user_00004,2024-02-17T00:00:00Z,2024-02-01T00:00:00Z
user_00005,2024-01-25T00:00:00Z,2024-01-01T00:00:00Z
user_00006,2024-02-25T00:00:00Z,2024-02-01T00:00:00Z
user_00007,2024-08-07T00:00:00Z,2024-08-01T00:00:00Z
user_00008,2024-02-05T00:00:00Z,2024-02-01T00:00:00Z
user_00009,2024-03-22T00:00:00Z,2024-03-01T00:00:00Z
user_00010,2024-03-09T00:00:00Z,2024-03-01T00:00:00Z
user_00011,2024-01-26T00:00:00Z,2024-01-01T00:00:00Z
user_00012,2024-03-04T00:00:00Z,2024-03-01T00:00:00Z
user_00013,2024-03-23T00:00:00Z,2024-03-01T00:00:00Z
user_00014,2024-02-09T00:00:00Z,2024-02-01T00:00:00Z
user_00015,2024-07-25T00:00:00Z,2024-07-01T00:00:00Z
user_00016,2024-05-12T00:00:00Z,2024-05-01T00:00:00Z
user_00017,2024-04-30T00:00:00Z,2024-04-01T00:00:00Z
user_00018,2024-04-16T00:00:00Z,2024-04-01T00:00:00Z
user_00019,2024-01-25T00:00:00Z,2024-01-01T00:00:00Z
user_00020,2024-03-29T00:00:00Z,2024-03-01T00:00:00Z
user_00021,2024-05-07T00:00:00Z,2024-05-01T00:00:00Z
user_00022,2024-05-10T00:00:00Z,2024-05-01T00:00:00Z
user_00023,2024-01-16T00:00:00Z,2024-01-01T00:00:00Z
user_00024,2024-10-23T00:00:00Z,2024-10-01T00:00:00Z
user_00025,2024-03-10T00:00:00Z,2024-03-01T00:00:00Z
user_00026,2024-03-12T00:00:00Z,2024-03-01T00:00:00Z
user_00027,2024-01-14T00:00:00Z,2024-01-01T00:00:00Z
user_00028,2024-01-24T00:00:00Z,2024-01-01T00:00:00Z
user_00029,2024-05-17T00:00:00Z,2024-05-01T00:00:00Z
user_00030,2024-05-17T00:00:00Z,2024-05-01T00:00:00Z
user_00031,2024-05-23T00:00:00Z,2024-05-01T00:00:00Z
user_00032,2024-01-11T00:00:00Z,2024-01-01T00:00:00Z
user_00033,2024-04-22T00:00:00Z,2024-04-01T00:00:00Z
user_00034,2024-02-14T00:00:00Z,2024-02-01T00:00:00Z
user_00035,2024-01-06T00:00:00Z,2024-01-01T00:00:00Z
user_00036,2024-04-09T00:00:00Z,2024-04-01T00:00:00Z
user_00037,2024-08-27T00:00:00Z,2024-08-01T00:00:00Z
user_00038,2024-07-20T00:00:00Z,2024-07-01T00:00:00Z
user_00039,2024-01-03T00:00:00Z,2024-01-01T00:00:00Z
user_00040,2024-02-10T00:00:00Z,2024-02-01T00:00:00Z
user_00041,2024-02-04T00:00:00Z,2024-02-01T00:00:00Z
user_00042,2024-05-05T00:00:00Z,2024-05-01T00:00:00Z
user_00043,2024-01-06T00:00:00Z,2024-01-01T00:00:00Z
user_00044,2024-10-19T00:00:00Z,2024-10-01T00:00:00Z
user_00045,2024-02-25T00:00:00Z,2024-02-01T00:00:00Z
user_00046,2024-04-30T00:00:00Z,2024-04-01T00:00:00Z
user_00047,2024-02-12T00:00:00Z,2024-02-01T00:00:00Z
user_00048,2024-08-04T00:00:00Z,2024-08-01T00:00:00Z
user_00049,2024-07-02T00:00:00Z,2024-07-01T00:00:00Z
user_00050,2024-01-10T00:00:00Z,2024-01-01T00:00:00Z
user_00051,2024-01-20T00:00:00Z,2024-01-01T00:00:00Z
user_00052,2024-01-03T00:00:00Z,2024-01-01T00:00:00Z
user_00053,2024-03-16T00:00:00Z,2024-03-01T00:00:00Z
user_00054,2024-02-28T00:00:00Z,2024-02-01T00:00:00Z
user_00055,2024-04-02T00:00:00Z,2024-04-01T00:00:00Z
user_00056,2024-02-03T00:00:00Z,2024-02-01T00:00:00Z
user_00057,2024-05-09T00:00:00Z,2024-05-01T00:00:00Z
user_00058,2024-02-11T00:00:00Z,2024-02-01T00:00:00Z
user_00059,2024-04-14T00:00:00Z,2024-04-01T00:00:00Z
user_00060,2024-05-24T00:00:00Z,2024-05-01T00:00:00Z
user_00061,2024-03-07T00:00:00Z,2024-03-01T00:00:00Z
user_00062,2024-01-10T00:00:00Z,2024-01-01T00:00:00Z
user_00063,2024-01-30T00:00:00Z,2024-01-01T00:00:00Z
user_00064,2024-03-13T00:00:00Z,2024-03-01T00:00:00Z
user_00065,2024-01-28T00:00:00Z,2024-01-01T00:00:00Z
user_00066,2024-02-25T00:00:00Z,2024-02-01T00:00:00Z
user_00067,2024-01-17T00:00:00Z,2024-01-01T00:00:00Z
user_00068,2024-03-03T00:00:00Z,2024-03-01T00:00:00Z
user_00069,2024-01-13T00:00:00Z,2024-01-01T00:00:00Z
user_00070,2024-02-12T00:00:00Z,2024-02-01T00:00:00Z
user_00071,2024-05-08T00:00:00Z,2024-05-01T00:00:00Z
user_00072,2024-04-01T00:00:00Z,2024-04-01T00:00:00Z
user_00073,2024-01-08T00:00:00Z,2024-01-01T00:00:00Z
user_00074,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
user_00075,2024-06-14T00:00:00Z,2024-06-01T00:00:00Z
user_00076,2024-01-10T00:00:00Z,2024-01-01T00:00:00Z
user_00077,2024-10-29T00:00:00Z,2024-10-01T00:00:00Z
user_00078,2024-03-30T00:00:00Z,2024-03-01T00:00:00Z
user_00079,2024-05-09T00:00:00Z,2024-05-01T00:00:00Z
user_00080,2024-01-19T00:00:00Z,2024-01-01T00:00:00Z
user_00081,2024-05-14T00:00:00Z,2024-05-01T00:00:00Z
user_00082,2024-05-08T00:00:00Z,2024-05-01T00:00:00Z
user_00083,2024-02-07T00:00:00Z,2024-02-01T00:00:00Z
user_00084,2024-04-18T00:00:00Z,2024-04-01T00:00:00Z
user_00085,2024-02-16T00:00:00Z,2024-02-01T00:00:00Z
user_00086,2024-05-12T00:00:00Z,2024-05-01T00:00:00Z
user_00087,2024-02-15T00:00:00Z,2024-02-01T00:00:00Z
user_00088,2024-01-03T00:00:00Z,2024-01-01T00:00:00Z
user_00089,2024-02-05T00:00:00Z,2024-02-01T00:00:00Z
user_00090,2024-01-09T00:00:00Z,2024-01-01T00:00:00Z
user_00091,2024-02-16T00:00:00Z,2024-02-01T00:00:00Z
user_00092,2024-01-14T00:00:00Z,2024-01-01T00:00:00Z
user_00093,2024-02-16T00:00:00Z,2024-02-01T00:00:00Z
user_00094,2024-06-09T00:00:00Z,2024-06-01T00:00:00Z
user_00095,2024-04-01T00:00:00Z,2024-04-01T00:00:00Z
user_00096,2024-03-13T00:00:00Z,2024-03-01T00:00:00Z
user_00097,2024-03-06T00:00:00Z,2024-03-01T00:00:00Z
user_00098,2024-02-07T00:00:00Z,2024-02-01T00:00:00Z
user_00099,2024-02-24T00:00:00Z,2024-02-01T00:00:00Z
user_00100,2024-02-22T00:00:00Z,2024-02-01T00:00:00Z
user_00101,2024-01-06T00:00:00Z,2024-01-01T00:00:00Z
user_00102,2024-01-22T00:00:00Z,2024-01-01T00:00:00Z
user_00103,2024-03-17T00:00:00Z,2024-03-01T00:00:00Z
user_00104,2024-07-28T00:00:00Z,2024-07-01T00:00:00Z
user_00105,2024-02-17T00:00:00Z,2024-02-01T00:00:00Z
user_00106,2024-03-30T00:00:00Z,2024-03-01T00:00:00Z
user_00107,2024-02-11T00:00:00Z,2024-02-01T00:00:00Z
user_00108,2024-03-17T00:00:00Z,2024-03-01T00:00:00Z
user_00109,2024-03-23T00:00:00Z,2024-03-01T00:00:00Z
user_00110,2024-05-24T00:00:00Z,2024-05-01T00:00:00Z
user_00111,2024-05-19T00:00:00Z,2024-05-01T00:00:00Z
user_00112,2024-05-04T00:00:00Z,2024-05-01T00:00:00Z
user_00113,2024-01-24T00:00:00Z,2024-01-01T00:00:00Z
user_00114,2024-05-29T00:00:00Z,2024-05-01T00:00:00Z
user_00115,2024-03-08T00:00:00Z,2024-03-01T00:00:00Z
user_00116,2024-04-10T00:00:00Z,2024-04-01T00:00:00Z
user_00117,2024-02-07T00:00:00Z,2024-02-01T00:00:00Z
user_00118,2024-04-05T00:00:00Z,2024-04-01T00:00:00Z
user_00119,2024-01-14T00:00:00Z,2024-01-01T00:00:00Z
user_00120,2024-01-16T00:00:00Z,2024-01-01T00:00:00Z
user_00121,2024-05-07T00:00:00Z,2024-05-01T00:00:00Z
user_00122,2024-05-04T00:00:00Z,2024-05-01T00:00:00Z
user_00123,2024-05-22T00:00:00Z,2024-05-01T00:00:00Z
user_00124,2024-02-28T00:00:00Z,2024-02-01T00:00:00Z
user_00125,2024-02-23T00:00:00Z,2024-02-01T00:00:00Z
user_00126,2024-01-28T00:00:00Z,2024-01-01T00:00:00Z
user_00127,2024-01-03T00:00:00Z,2024-01-01T00:00:00Z
user_00128,2024-04-19T00:00:00Z,2024-04-01T00:00:00Z
user_00129,2025-01-06T00:00:00Z,2025-01-01T00:00:00Z
user_00130,2024-05-31T00:00:00Z,2024-05-01T00:00:00Z
user_00131,2024-03-14T00:00:00Z,2024-03-01T00:00:00Z
user_00132,2024-01-30T00:00:00Z,2024-01-01T00:00:00Z
user_00133,2024-03-05T00:00:00Z,2024-03-01T00:00:00Z
user_00134,2024-08-31T00:00:00Z,2024-08-01T00:00:00Z
user_00135,2024-02-27T00:00:00Z,2024-02-01T00:00:00Z
user_00136,2024-02-03T00:00:00Z,2024-02-01T00:00:00Z
user_00137,2024-01-09T00:00:00Z,2024-01-01T00:00:00Z
user_00138,2024-03-11T00:00:00Z,2024-03-01T00:00:00Z
user_00139,2024-04-02T00:00:00Z,2024-04-01T00:00:00Z
user_00140,2024-08-08T00:00:00Z,2024-08-01T00:00:00Z
user_00141,2024-01-17T00:00:00Z,2024-01-01T00:00:00Z
user_00142,2024-05-19T00:00:00Z,2024-05-01T00:00:00Z
user_00143,2024-01-05T00:00:00Z,2024-01-01T00:00:00Z
user_00144,2024-01-14T00:00:00Z,2024-01-01T00:00:00Z
user_00145,2024-11-01T00:00:00Z,2024-11-01T00:00:00Z
user_00146,2024-03-07T00:00:00Z,2024-03-01T00:00:00Z
user_00147,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
user_00148,2024-02-23T00:00:00Z,2024-02-01T00:00:00Z
user_00149,2024-01-04T00:00:00Z,2024-01-01T00:00:00Z
user_00150,2024-01-17T00:00:00Z,2024-01-01T00:00:00Z
user_00151,2024-01-18T00:00:00Z,2024-01-01T00:00:00Z
user_00152,2024-01-04T00:00:00Z,2024-01-01T00:00:00Z
user_00153,2024-01-22T00:00:00Z,2024-01-01T00:00:00Z
user_00154,2024-05-13T00:00:00Z,2024-05-01T00:00:00Z
user_00155,2024-03-28T00:00:00Z,2024-03-01T00:00:00Z
user_00156,2024-01-19T00:00:00Z,2024-01-01T00:00:00Z
user_00157,2024-11-11T00:00:00Z,2024-11-01T00:00:00Z
user_00158,2024-02-02T00:00:00Z,2024-02-01T00:00:00Z
user_00159,2024-01-29T00:00:00Z,2024-01-01T00:00:00Z
user_00160,2024-02-11T00:00:00Z,2024-02-01T00:00:00Z
user_00161,2024-01-12T00:00:00Z,2024-01-01T00:00:00Z
user_00162,2024-03-04T00:00:00Z,2024-03-01T00:00:00Z
user_00163,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
