session_id,user_id,movie_id,.watch_time_raw,.watch_time,rec_time_first,min_pos_diff_hours,was_recommended_movie,progress_percentage
session_000001,user_07271,movie_0511,2025-11-13,2025-11-13T00:00:00Z,NA,Inf,FALSE,34.6
session_000002,user_00861,movie_0588,2025-02-26,2025-02-26T00:00:00Z,NA,Inf,FALSE,44.2
session_000003,user_05391,movie_0694,2024-12-15,2024-12-15T00:00:00Z,NA,Inf,FALSE,84.7
session_000004,user_05192,movie_0234,2024-09-30,2024-09-30T00:00:00Z,NA,Inf,FALSE,89.9
session_000005,user_05735,movie_0390,2024-08-04,2024-08-04T00:00:00Z,NA,Inf,FALSE,6.2
session_000006,user_06266,movie_0631,2024-03-13,2024-03-13T00:00:00Z,NA,Inf,FALSE,63.7
session_000007,user_00467,movie_0483,2025-04-23,2025-04-23T00:00:00Z,NA,Inf,FALSE,63.1
session_000008,user_04427,movie_0139,2025-09-13,2025-09-13T00:00:00Z,NA,Inf,FALSE,57.4
session_000009,user_05579,movie_0769,2025-08-26,2025-08-26T00:00:00Z,NA,Inf,FALSE,9.8
session_000010,user_08323,movie_0577,2025-07-23,2025-07-23T00:00:00Z,NA,Inf,FALSE,74.1
session_000011,user_01686,movie_0903,2025-05-17,2025-05-17T00:00:00Z,NA,Inf,FALSE,62.1
session_000012,user_00770,movie_0427,2025-08-09,2025-08-09T00:00:00Z,NA,Inf,FALSE,69.7
session_000013,user_06950,movie_0764,2024-07-06,2024-07-06T00:00:00Z,NA,Inf,FALSE,4.6
session_000014,user_02434,movie_0810,2024-10-27,2024-10-27T00:00:00Z,NA,Inf,FALSE,71.6
session_000015,user_05312,movie_0861,2025-10-17,2025-10-17T00:00:00Z,NA,Inf,FALSE,30.7
session_000016,user_05052,movie_0418,2024-12-09,2024-12-09T00:00:00Z,NA,Inf,FALSE,65.2
session_000017,user_06421,movie_0135,2025-11-02,2025-11-02T00:00:00Z,NA,Inf,FALSE,37.9
session_000018,user_01185,movie_0671,2025-12-05,2025-12-05T00:00:00Z,NA,Inf,FALSE,92
session_000019,user_04556,movie_0124,2024-11-08,2024-11-08T00:00:00Z,NA,Inf,FALSE,72.3
session_000020,user_03386,movie_0312,2025-11-05,2025-11-05T00:00:00Z,NA,Inf,FALSE,5.5
session_000021,user_06397,movie_0129,2025-02-04,2025-02-04T00:00:00Z,NA,Inf,FALSE,25.9
session_000022,user_08667,movie_0357,2025-02-09,2025-02-09T00:00:00Z,NA,Inf,FALSE,25.5
session_000023,user_09275,movie_0154,2024-04-14,2024-04-14T00:00:00Z,NA,Inf,FALSE,49.6
session_000024,user_02559,movie_0285,2024-11-16,2024-11-16T00:00:00Z,NA,Inf,FALSE,9.3
session_000025,user_07850,movie_0675,2024-10-30,2024-10-30T00:00:00Z,NA,Inf,FALSE,54.3
session_000026,user_02048,movie_0037,2025-11-09,2025-11-09T00:00:00Z,NA,Inf,FALSE,37.7
session_000027,user_02748,movie_0778,2025-01-22,2025-01-22T00:00:00Z,NA,Inf,FALSE,6.1
session_000028,user_09168,movie_0709,2025-01-19,2025-01-19T00:00:00Z,NA,Inf,FALSE,42.6
session_000029,user_09999,movie_0990,2024-11-22,2024-11-22T00:00:00Z,NA,Inf,FALSE,72.2
session_000030,user_00190,movie_0114,2024-07-08,2024-07-08T00:00:00Z,NA,Inf,FALSE,12.8
session_000031,user_02735,movie_0494,2024-04-03,2024-04-03T00:00:00Z,NA,Inf,FALSE,42.6
session_000032,user_03006,movie_0004,2024-11-01,2024-11-01T00:00:00Z,NA,Inf,FALSE,77.4
session_000033,user_04659,movie_0711,2025-03-30,2025-03-30T00:00:00Z,NA,Inf,FALSE,64.3
session_000034,user_01900,movie_0758,2025-06-15,2025-06-15T00:00:00Z,NA,Inf,FALSE,78.2
session_000035,user_07735,movie_0639,2024-09-28,2024-09-28T00:00:00Z,NA,Inf,FALSE,85.7
session_000036,user_01268,movie_0627,2024-11-04,2024-11-04T00:00:00Z,NA,Inf,FALSE,41.7
session_000037,user_01529,movie_0445,2024-07-04,2024-07-04T00:00:00Z,NA,Inf,FALSE,60.9
session_000038,user_03557,movie_0468,2024-07-11,2024-07-11T00:00:00Z,NA,Inf,FALSE,6.9
session_000039,user_03891,movie_0860,2024-04-23,2024-04-23T00:00:00Z,NA,Inf,FALSE,22.6
session_000040,user_08839,movie_0647,2025-03-21,2025-03-21T00:00:00Z,NA,Inf,FALSE,46.5
session_000041,user_05394,movie_0971,2024-05-24,2024-05-24T00:00:00Z,NA,Inf,FALSE,95.3
session_000042,user_08793,movie_0177,2025-07-01,2025-07-01T00:00:00Z,NA,Inf,FALSE,85.8
session_000043,user_08434,movie_0701,2025-07-14,2025-07-14T00:00:00Z,NA,Inf,FALSE,89.9
session_000044,user_07514,movie_0142,2025-07-31,2025-07-31T00:00:00Z,NA,Inf,FALSE,73.5
session_000045,user_02613,movie_0712,2024-07-05,2024-07-05T00:00:00Z,NA,Inf,FALSE,46
session_000046,user_07042,movie_0664,2025-01-05,2025-01-05T00:00:00Z,NA,Inf,FALSE,34.4
session_000047,user_09556,movie_0563,2025-11-11,2025-11-11T00:00:00Z,NA,Inf,FALSE,4.7
session_000048,user_06236,movie_0502,2025-11-29,2025-11-29T00:00:00Z,NA,Inf,FALSE,64.5
session_000049,user_05487,movie_0031,2024-12-02,2024-12-02T00:00:00Z,NA,Inf,FALSE,90.2
session_000050,user_07100,movie_0763,2025-06-16,2025-06-16T00:00:00Z,NA,Inf,FALSE,60.9
session_000051,user_09671,movie_0130,2024-11-19,2024-11-19T00:00:00Z,NA,Inf,FALSE,48.7
session_000052,user_00776,movie_0968,2024-04-26,2024-04-26T00:00:00Z,NA,Inf,FALSE,1.3
session_000053,user_08227,movie_0091,2024-11-10,2024-11-10T00:00:00Z,NA,Inf,FALSE,45.3
session_000054,user_03153,movie_0171,2025-05-05,2025-05-05T00:00:00Z,NA,Inf,FALSE,73.3
session_000055,user_01586,movie_0253,2025-10-27,2025-10-27T00:00:00Z,NA,Inf,FALSE,34.5
session_000056,user_03944,movie_0088,2025-07-25,2025-07-25T00:00:00Z,NA,Inf,FALSE,50.2
session_000057,user_07556,movie_0691,2025-05-07,2025-05-07T00:00:00Z,NA,Inf,FALSE,34.7
session_000058,user_03074,movie_0454,2024-07-07,2024-07-07T00:00:00Z,NA,Inf,FALSE,49.6
session_000059,user_01022,movie_0779,2025-06-21,2025-06-21T00:00:00Z,NA,Inf,FALSE,20.5
session_000060,user_03844,movie_0689,2025-05-12,2025-05-12T00:00:00Z,NA,Inf,FALSE,13.9
session_000061,user_07990,movie_0528,2024-02-10,2024-02-10T00:00:00Z,NA,Inf,FALSE,91
session_000062,user_09693,movie_0116,2025-02-14,2025-02-14T00:00:00Z,NA,Inf,FALSE,76.4
session_000063,user_06874,movie_0733,2025-04-05,2025-04-05T00:00:00Z,NA,Inf,FALSE,77.1
session_000064,user_05676,movie_0169,2025-07-13,2025-07-13T00:00:00Z,NA,Inf,FALSE,43.2
session_000065,user_00162,movie_0926,2025-03-10,2025-03-10T00:00:00Z,NA,Inf,FALSE,61.2
session_000066,user_04298,movie_0429,2025-11-27,2025-11-27T00:00:00Z,NA,Inf,FALSE,77.3
session_000067,user_00996,movie_0711,2025-07-02,2025-07-02T00:00:00Z,NA,Inf,FALSE,74.7
session_000068,user_07630,movie_0528,2024-08-04,2024-08-04T00:00:00Z,NA,Inf,FALSE,61.4
session_000069,user_09468,movie_0228,2025-10-11,2025-10-11T00:00:00Z,NA,Inf,FALSE,69.9
session_000070,user_01017,movie_0415,2025-11-02,2025-11-02T00:00:00Z,NA,Inf,FALSE,1.2
session_000071,user_07870,movie_0011,2025-02-02,2025-02-02T00:00:00Z,NA,Inf,FALSE,81.9
session_000072,user_06440,movie_0211,2024-12-30,2024-12-30T00:00:00Z,NA,Inf,FALSE,73.7
session_000073,user_07893,movie_0334,2025-06-24,2025-06-24T00:00:00Z,NA,Inf,FALSE,88
session_000074,user_06864,movie_0762,2025-03-22,2025-03-22T00:00:00Z,NA,Inf,FALSE,49.7
session_000075,user_07917,movie_0463,2025-04-18,2025-04-18T00:00:00Z,NA,Inf,FALSE,2.6
session_000076,user_08530,movie_0520,2025-09-02,2025-09-02T00:00:00Z,NA,Inf,FALSE,76.9
session_000077,user_00879,movie_0780,2025-08-16,2025-08-16T00:00:00Z,NA,Inf,FALSE,17.4
session_000078,user_09269,movie_0856,2025-06-21,2025-06-21T00:00:00Z,NA,Inf,FALSE,18.2
session_000079,user_04888,movie_0061,2024-04-07,2024-04-07T00:00:00Z,NA,Inf,FALSE,58.1
session_000080,user_04860,movie_0934,2025-12-06,2025-12-06T00:00:00Z,NA,Inf,FALSE,32.3
session_000081,user_06332,movie_0695,2025-12-02,2025-12-02T00:00:00Z,NA,Inf,FALSE,64
session_000082,user_08572,movie_0653,2024-02-18,2024-02-18T00:00:00Z,NA,Inf,FALSE,35.6
session_000083,user_08685,movie_0466,2024-03-30,2024-03-30T00:00:00Z,NA,Inf,FALSE,80.1
session_000084,user_07209,movie_0163,2024-07-10,2024-07-10T00:00:00Z,NA,Inf,FALSE,55
session_000085,user_05277,movie_0733,2024-02-24,2024-02-24T00:00:00Z,NA,Inf,FALSE,41.9
session_000086,user_02063,movie_0318,2024-02-03,2024-02-03T00:00:00Z,NA,Inf,FALSE,30.1
session_000087,user_00065,movie_0020,2024-09-11,2024-09-11T00:00:00Z,NA,Inf,FALSE,30.1
session_000088,user_08007,movie_0566,2024-02-25,2024-02-25T00:00:00Z,NA,Inf,FALSE,67.6
session_000089,user_02569,movie_0866,2025-04-29,2025-04-29T00:00:00Z,NA,Inf,FALSE,11.4
session_000090,user_05464,movie_0067,2025-02-09,2025-02-09T00:00:00Z,NA,Inf,FALSE,20.3
session_000091,user_02028,movie_0382,2024-08-17,2024-08-17T00:00:00Z,NA,Inf,FALSE,78.5
session_000092,user_02696,movie_0703,2024-01-24,2024-01-24T00:00:00Z,NA,Inf,FALSE,78.6
session_000093,user_09688,movie_0872,2025-05-05,2025-05-05T00:00:00Z,NA,Inf,FALSE,52.5
session_000094,user_05259,movie_0995,2024-05-11,2024-05-11T00:00:00Z,NA,Inf,FALSE,47.6
session_000095,user_05619,movie_0863,2024-12-18,2024-12-18T00:00:00Z,NA,Inf,FALSE,41.6
session_000096,user_06737,movie_0632,2024-12-17,2024-12-17T00:00:00Z,NA,Inf,FALSE,47.9
session_000097,user_00392,movie_0583,2024-05-23,2024-05-23T00:00:00Z,NA,Inf,FALSE,93.7
session_000098,user_05893,movie_0777,2025-06-21,2025-06-21T00:00:00Z,NA,Inf,FALSE,36.6
session_000099,user_03562,movie_0630,2025-12-02,2025-12-02T00:00:00Z,NA,Inf,FALSE,12.9
session_000100,user_06185,movie_0701,2024-06-08,2024-06-08T00:00:00Z,NA,Inf,FALSE,33
session_000101,user_03100,movie_0306,2025-01-30,2025-01-30T00:00:00Z,NA,Inf,FALSE,41.8
session_000102,user_06279,movie_0187,2024-07-05,2024-07-05T00:00:00Z,NA,Inf,FALSE,70.4
session_000103,user_08393,movie_0176,2024-05-26,2024-05-26T00:00:00Z,NA,Inf,FALSE,64.3
session_000104,user_03105,movie_0529,2025-07-13,2025-07-13T00:00:00Z,NA,Inf,FALSE,74.7
session_000105,user_07216,movie_0820,2024-05-25,2024-05-25T00:00:00Z,NA,Inf,FALSE,21.4
session_000106,user_02455,movie_0199,2025-09-23,2025-09-23T00:00:00Z,NA,Inf,FALSE,46.2
session_000107,user_08997,movie_0051,2025-02-21,2025-02-21T00:00:00Z,NA,Inf,FALSE,65.3
session_000108,user_02732,movie_0581,2024-12-30,2024-12-30T00:00:00Z,NA,Inf,FALSE,29.6
session_000109,user_08155,movie_0600,2024-07-03,2024-07-03T00:00:00Z,NA,Inf,FALSE,15.1
session_000110,user_09763,movie_0719,2025-12-02,2025-12-02T00:00:00Z,NA,Inf,FALSE,56.8
session_000111,user_05057,movie_0450,2025-11-26,2025-11-26T00:00:00Z,NA,Inf,FALSE,9.5
session_000112,user_08111,movie_0697,2025-08-06,2025-08-06T00:00:00Z,NA,Inf,FALSE,96.8
session_000113,user_03841,movie_0911,2025-09-04,2025-09-04T00:00:00Z,NA,Inf,FALSE,13.3
session_000114,user_01029,movie_0085,2024-06-01,2024-06-01T00:00:00Z,NA,Inf,FALSE,36.7
session_000115,user_07386,movie_0613,2025-11-16,2025-11-16T00:00:00Z,NA,Inf,FALSE,54.9
session_000116,user_00503,movie_0334,2024-08-29,2024-08-29T00:00:00Z,NA,Inf,FALSE,21.4
session_000117,user_06911,movie_0883,2025-12-08,2025-12-08T00:00:00Z,NA,Inf,FALSE,94.1
session_000118,user_09063,movie_0642,2024-08-22,2024-08-22T00:00:00Z,NA,Inf,FALSE,96.3
session_000119,user_06939,movie_0217,2024-11-14,2024-11-14T00:00:00Z,NA,Inf,FALSE,71.3
session_000120,user_04489,movie_0795,2025-01-29,2025-01-29T00:00:00Z,NA,Inf,FALSE,43.8
session_000121,user_00207,movie_0052,2025-11-19,2025-11-19T00:00:00Z,NA,Inf,FALSE,77.6
session_000122,user_05135,movie_0629,2024-05-28,2024-05-28T00:00:00Z,NA,Inf,FALSE,5.6
session_000123,user_05978,movie_0563,2024-11-02,2024-11-02T00:00:00Z,NA,Inf,FALSE,48.1
session_000124,user_07722,movie_0678,2024-11-09,2024-11-09T00:00:00Z,NA,Inf,FALSE,38.1
session_000125,user_07036,movie_0885,2024-05-21,2024-05-21T00:00:00Z,NA,Inf,FALSE,96.3
session_000126,user_01485,movie_0019,2024-05-20,2024-05-20T00:00:00Z,NA,Inf,FALSE,59.3
session_000127,user_07859,movie_0618,2024-10-16,2024-10-16T00:00:00Z,NA,Inf,FALSE,83.2
session_000128,user_00864,movie_0158,2024-04-06,2024-04-06T00:00:00Z,NA,Inf,FALSE,96.7
session_000129,user_02791,movie_0497,2024-10-26,2024-10-26T00:00:00Z,NA,Inf,FALSE,64.5
session_000130,user_07409,movie_0074,2024-11-23,2024-11-23T00:00:00Z,NA,Inf,FALSE,79.1
session_000131,user_08756,movie_0991,2024-12-11,2024-12-11T00:00:00Z,NA,Inf,FALSE,75.4
session_000132,user_05117,movie_0845,2024-03-09,2024-03-09T00:00:00Z,NA,Inf,FALSE,38.5
session_000133,user_06020,movie_0653,2024-01-21,2024-01-21T00:00:00Z,NA,Inf,FALSE,63.9
session_000134,user_01758,movie_0923,2025-12-20,2025-12-20T00:00:00Z,NA,Inf,FALSE,83.9
session_000135,user_07575,movie_0430,2024-01-18,2024-01-18T00:00:00Z,NA,Inf,FALSE,56.8
session_000136,user_06375,movie_0275,2025-12-08,2025-12-08T00:00:00Z,NA,Inf,FALSE,96
session_000137,user_06893,movie_0147,2025-07-26,2025-07-26T00:00:00Z,NA,Inf,FALSE,21
session_000138,user_01679,movie_0485,2024-08-30,2024-08-30T00:00:00Z,NA,Inf,FALSE,98.6
session_000139,user_03243,movie_0425,2024-04-11,2024-04-11T00:00:00Z,NA,Inf,FALSE,11.9
session_000140,user_04637,movie_0271,2025-04-18,2025-04-18T00:00:00Z,NA,Inf,FALSE,37
session_000141,user_01060,movie_0924,2024-10-15,2024-10-15T00:00:00Z,NA,Inf,FALSE,39.2
session_000142,user_06669,movie_0620,2025-08-30,2025-08-30T00:00:00Z,NA,Inf,FALSE,98.8
session_000143,user_09915,movie_0356,2025-04-01,2025-04-01T00:00:00Z,NA,Inf,FALSE,2.9
session_000144,user_03158,movie_0796,2024-04-23,2024-04-23T00:00:00Z,NA,Inf,FALSE,72
session_000145,user_05916,movie_0562,2024-09-23,2024-09-23T00:00:00Z,NA,Inf,FALSE,53.5
session_000146,user_09790,movie_0801,2024-11-16,2024-11-16T00:00:00Z,NA,Inf,FALSE,83.1
session_000147,user_02694,movie_0812,2025-10-24,2025-10-24T00:00:00Z,NA,Inf,FALSE,17.9
session_000148,user_03628,movie_0055,2025-05-28,2025-05-28T00:00:00Z,NA,Inf,FALSE,42.7
session_000149,user_09556,movie_0121,2024-06-04,2024-06-04T00:00:00Z,NA,Inf,FALSE,19.2
